iter	Passed	Remaining
812	4753	1292
813	4758	1286
814	4763	1280
815	4769	1274
816	4775	1268
817	4780	1262
818	4786	1256
819	4791	1250
820	4797	1244
821	4803	1238
822	4809	1233
823	4815	1227
824	4821	1221
825	4827	1215
826	4833	1209
827	4838	1203
828	4844	1198
829	4850	1192
830	4855	1186
831	4861	1180
832	4867	1174
833	4873	1168
834	4879	1162
835	4884	1156
836	4890	1151
837	4895	1145
838	4901	1139
839	4907	1133
840	4913	1127
841	4918	1121
842	4924	1115
843	4929	1109
844	4935	1103
845	4942	1098
846	4947	1092
847	4954	1086
848	4962	1081
849	4968	1075
850	4976	1070
851	4984	1064
852	4988	1058
853	4994	1052
854	5002	1047
855	5008	1041
856	5015	1035
857	5023	1030
858	5031	1025
859	5039	1019
860	5046	1013
861	5052	1008
862	5057	1002
863	5063	996
864	5069	990
865	5074	984
866	5080	978
867	5086	972
868	5092	966
869	5096	960
870	5101	954
871	5107	948
872	5113	943
873	5119	937
874	5125	931
875	5131	925
876	5137	919
877	5141	913
878	5147	907
879	5153	901
880	5158	895
881	5166	890
882	5172	884
883	5179	878
884	5183	872
885	5191	867
886	5199	861
887	5206	856
888	5214	850
889	5222	844
890	5228	839
891	5235	833
892	5241	827
893	5248	821
894	5255	816
895	5261	810
896	5267	804
897	5271	798
898	5275	792
899	5281	786
900	5288	780
901	5295	774
902	5302	769
903	5308	763
904	5314	757
905	5319	751
906	5325	745
907	5330	739
908	5335	733
909	5342	727
910	5348	722
911	5356	716
912	5362	710
913	5370	705
914	5377	699
915	5384	693
916	5390	687
917	5396	681
918	5403	676
919	5407	670
920	5413	664
921	5421	658
922	5428	652
923	5435	647
924	5440	641
925	5444	635
926	5449	629
927	5456	623
928	5464	617
929	5469	611
930	5474	605
931	5482	599
932	5489	594
933	5496	588
934	5505	582
935	5514	577
936	5520	571
937	5526	565
938	5533	559
939	5540	554
940	5545	548
941	5549	542
942	5558	536
943	5566	530
944	5575	525
945	5583	519
946	5590	513
947	5595	507
948	5601	501
949	5606	495
950	5612	489
951	5618	483
952	5624	478
953	5630	472
954	5635	466
955	5641	460
956	5647	454
957	5652	448
958	5657	442
959	5662	436
960	5669	430
961	5674	424
962	5680	418
963	5684	412
964	5688	406
965	5692	400
966	5698	394
967	5704	388
968	5708	382
969	5713	376
970	5719	371
971	5725	365
972	5731	359
973	5737	353
974	5742	347
975	5749	341
976	5756	335
977	5761	329
978	5766	323
979	5773	318
980	5781	312
981	5788	306
982	5795	300
983	5801	294
984	5806	288
985	5812	282
986	5818	277
987	5823	271
988	5829	265
989	5836	259
990	5843	253
991	5849	247
992	5855	241
993	5861	235
994	5867	229
995	5872	224
996	5878	218
997	5884	212
998	5889	206
999	5895	200
1000	5900	194
1001	5906	188
1002	5913	182
1003	5919	176
1004	5927	171
1005	5935	165
1006	5943	159
1007	5949	153
1008	5957	147
1009	5964	141
1010	5970	135
1011	5976	129
1012	5982	124
1013	5988	118
1014	5992	112
1015	5997	106
1016	6001	100
1017	6005	94
1018	6011	88
1019	6017	82
1020	6023	76
1021	6028	70
1022	6034	64
1023	6039	58
1024	6044	53
1025	6049	47
1026	6056	41
1027	6062	35
1028	6068	29
1029	6074	23
1030	6080	17
1031	6085	11
1032	6091	5
1033	6095	0
